game_id,developer_id
20200,1
655370,2
1732930,3
1355720,4
1139950,5
1469160,6
1659180,7
1968760,8
1178150,9
320150,10
1026420,11
485000,12
485000,13
1620060,14
825930,15
1454010,16
22670,17
1330820,18
346560,19
1097880,20
1362670,21
290870,22
575760,23
434030,24
810740,25
2073470,26
589250,27
677880,28
1294780,29
1342850,30
1177420,31
793990,32
1727670,33
955490,34
552350,35
42500,36
1195610,37
1195610,38
1195610,39
1095380,40
1158910,41
1194940,42
262150,43
1192900,44
866150,45
866150,46
231330,47
1056520,48
897820,49
658970,50
1777550,51
552520,52
552520,53
552520,54
552520,55
552520,56
718350,57
433450,58
1709450,59
1431470,60
1794920,61
1959480,62
1959480,63
763550,64
1445370,65
464230,66
1293830,67
1509640,68
1135380,69
1944730,70
1144900,71
306350,72
306350,73
1684530,74
1557480,75
1557480,76
1557480,77
1128520,78
12140,79
1647430,80
1845050,81
1163340,82
1163340,83
1608620,84
541570,85
1119070,86
1292520,87
1467330,88
1624600,89
1624600,90
870000,91
1621490,92
768060,93
768060,94
1746130,95
1281400,96
372890,97
1023420,98
1141880,99
1022840,100
652160,101
968580,57
1131550,102
1729790,103
368080,104
572510,105
1225870,106
1232510,107
1066890,108
817370,109
1662060,110
457140,111
1774810,112
1886290,113
1514360,114
1514360,77
1374280,115
863490,116
396640,117
726020,118
424060,119
1995240,120
514870,121
548290,122
695420,123
1241110,124
587490,125
546050,126
546050,127
301700,128
2004200,129
1588070,130
730310,131
730310,132
242530,133
242530,134
1372570,135
1345820,136
420270,137
435790,138
926310,139
788020,140
467400,141
856730,142
1106950,60
1274570,143
1470790,144
1087620,145
1348430,146
1547580,147
1253680,148
1881210,149
497670,150
850040,151
850040,152
7940,153
741770,154
110630,155
572330,156
1683240,157
567150,158
700880,159
1413090,160
1610860,161
1302840,162
1305570,163
1305570,164
1609730,165
717980,166
1417450,167
778900,168
1004200,169
1506230,170
638230,171
1839080,172
1839080,173
907460,174
1307070,175
1221640,176
703120,177
328710,178
926140,179
1700630,180
845290,181
739720,182
1776800,183
873970,184
1238130,185
1593100,186
1593100,187
1365900,188
962950,189
778120,190
1187910,191
763350,192
1537410,193
761910,194
975470,195
990900,196
372770,197
462580,198
926870,199
848720,200
1343040,201
519140,202
