game_id,genre_id,is_primary
20200,1,true
20200,2,false
20200,3,false
655370,4,true
655370,2,false
1732930,4,true
1732930,5,false
1732930,2,false
1732930,6,false
1355720,5,true
1355720,1,false
1355720,2,false
1139950,5,true
1139950,2,false
1469160,5,true
1469160,1,false
1469160,7,false
1469160,8,false
1469160,9,false
1469160,6,false
1659180,2,true
1659180,6,false
1968760,1,true
1178150,5,true
1178150,9,false
1178150,10,false
1178150,6,false
320150,4,true
320150,5,false
320150,2,false
1026420,2,true
1026420,9,false
485000,6,true
1620060,1,true
1620060,2,false
825930,1,true
825930,2,false
1454010,4,true
1454010,5,false
1454010,2,false
1454010,9,false
1454010,6,false
1454010,11,false
22670,4,true
1330820,4,true
1330820,1,false
1330820,10,false
1330820,3,false
346560,5,true
346560,1,false
346560,2,false
346560,9,false
1097880,1,true
1097880,2,false
1362670,4,true
1362670,5,false
1362670,1,false
1362670,2,false
1362670,11,false
290870,2,true
290870,6,false
575760,4,true
575760,5,false
575760,1,false
575760,2,false
434030,4,true
434030,2,false
434030,12,false
434030,10,false
810740,4,true
810740,5,false
810740,1,false
810740,2,false
2073470,8,true
2073470,12,false
2073470,10,false
2073470,3,false
589250,4,true
589250,2,false
589250,10,false
677880,1,true
1294780,1,true
1342850,1,true
1342850,2,false
1342850,10,false
1342850,6,false
1177420,5,true
1177420,1,false
1177420,2,false
1177420,9,false
1177420,10,false
793990,1,true
793990,2,false
1727670,13,true
955490,5,true
955490,2,false
552350,5,true
552350,2,false
552350,9,false
42500,4,true
42500,2,false
1195610,4,true
1195610,6,false
1195610,11,false
1095380,1,true
1158910,5,true
1158910,1,false
1158910,2,false
1194940,2,true
1194940,9,false
262150,4,true
262150,1,false
262150,2,false
1192900,4,true
1192900,2,false
1192900,11,false
866150,5,true
866150,1,false
866150,2,false
231330,4,true
231330,5,false
1056520,2,true
897820,5,true
897820,2,false
897820,9,false
658970,1,true
658970,7,false
658970,2,false
658970,8,false
658970,9,false
658970,10,false
1777550,4,true
1777550,5,false
1777550,2,false
552520,4,true
552520,5,false
718350,5,true
718350,1,false
718350,2,false
718350,10,false
718350,6,false
433450,4,true
433450,9,false
1709450,5,true
1709450,1,false
1431470,5,true
1431470,2,false
1794920,5,true
1794920,2,false
1959480,4,true
1959480,5,false
1959480,9,false
763550,4,true
763550,5,false
763550,9,false
1445370,4,true
1445370,2,false
1445370,11,false
464230,1,true
464230,2,false
1293830,12,true
1509640,4,true
1509640,5,false
1509640,2,false
1509640,9,false
1135380,2,true
1944730,5,true
1944730,2,false
1144900,4,true
1144900,1,false
306350,4,true
306350,12,false
306350,3,false
1684530,1,true
1557480,4,true
1557480,5,false
1557480,9,false
1557480,10,false
1557480,6,false
1557480,11,false
1128520,2,true
1128520,6,false
12140,4,true
1647430,4,true
1647430,5,false
1647430,2,false
1845050,5,true
1845050,1,false
1845050,2,false
1163340,10,true
1163340,6,false
1608620,4,true
1608620,1,false
1608620,2,false
1608620,11,false
541570,5,true
541570,2,false
1119070,4,true
1119070,2,false
1292520,5,true
1292520,2,false
1467330,4,true
1467330,2,false
1624600,4,true
1624600,5,false
1624600,1,false
1624600,2,false
1624600,12,false
1624600,11,false
870000,5,true
870000,1,false
870000,2,false
870000,9,false
870000,6,false
1621490,4,true
768060,4,true
768060,5,false
768060,2,false
1746130,5,true
1746130,6,false
1281400,4,true
1281400,1,false
1281400,2,false
1281400,11,false
372890,5,true
