game_id,publisher_id
20200,1
655370,2
1732930,3
1355720,4
1139950,5
1469160,6
1659180,7
1968760,8
1178150,9
1178150,10
320150,11
1026420,12
1026420,13
485000,14
485000,15
1620060,16
825930,17
1454010,18
22670,19
1330820,20
346560,21
1097880,22
1362670,23
290870,24
575760,25
434030,26
2073470,27
589250,28
677880,29
1294780,30
1342850,31
1177420,32
793990,33
1727670,34
955490,35
552350,36
42500,37
1195610,38
1095380,39
1158910,40
1194940,41
262150,42
1192900,43
866150,44
231330,45
1056520,46
897820,47
658970,48
1777550,49
552520,50
718350,51
433450,52
1709450,53
1431470,54
1794920,55
1959480,56
1959480,57
763550,58
1445370,59
464230,60
1293830,61
1509640,62
1135380,63
1944730,64
1144900,65
306350,66
1684530,67
1557480,68
1128520,69
12140,70
1647430,71
1845050,72
1163340,73
1608620,74
541570,75
1119070,76
1292520,77
1467330,78
1624600,79
870000,80
1621490,81
768060,82
1746130,83
1281400,84
372890,85
1023420,86
1141880,87
1022840,88
652160,89
968580,51
1131550,90
1729790,91
368080,92
572510,64
1225870,93
1232510,94
1066890,95
817370,96
1662060,97
457140,98
1774810,99
1886290,100
1514360,101
1514360,102
1514360,103
1374280,104
863490,105
396640,106
726020,107
424060,108
1995240,109
514870,110
514870,102
548290,111
695420,112
1241110,113
587490,114
546050,115
301700,116
2004200,117
1588070,118
730310,119
730310,120
242530,121
1372570,122
1345820,123
420270,124
435790,125
926310,126
788020,127
467400,128
856730,129
1106950,54
1274570,130
1470790,131
1087620,132
1348430,133
1547580,134
1253680,135
1881210,136
497670,137
850040,138
7940,139
741770,140
110630,141
572330,142
1683240,143
567150,144
700880,145
1413090,146
1610860,147
1302840,148
1305570,149
1609730,150
717980,151
1417450,152
778900,153
1004200,154
1506230,155
638230,156
1839080,157
907460,158
1307070,159
1221640,160
703120,161
328710,162
926140,163
1700630,164
845290,165
739720,166
1776800,167
873970,168
1238130,169
1593100,170
1365900,171
962950,172
778120,173
1187910,174
763350,175
1537410,176
761910,177
761910,178
975470,179
990900,180
372770,181
462580,182
926870,183
848720,184
1343040,185
519140,186
1987030,187
1987030,188
821260,189
1565720,190
748490,191
748490,192
748490,102
545000,119
545000,120
1623720,193
544220,194
338190,195
1375270,196
551680,197
1874510,198
